appid,genres
38000,Casual
38070,Casual
38070,Simulation
38080,Simulation
38090,Simulation
38100,Simulation
38110,Simulation
38120,Casual
38130,Casual
38140,Casual
38150,Casual
38160,Casual
38170,Casual
38180,Casual
38190,Casual
38210,Casual
38230,Casual
38230,Simulation
38230,Strategy
38400,RPG
38410,RPG
38420,Strategy
38430,Action
